,SectorStatID,Nb d'enfants inscrits en secondaires habitant le ss
0,21001A43-,82
1,21001A90-,134
2,21001B23-,111
3,21001A02-,89
4,21001A92-,273
5,21002A10-,193
6,21002A30-,74
7,21002A030,146
8,21003A05-,128
9,21004E72-,494
10,21004F531,208
11,21004D62-,277
12,21004E800,109
13,21004A70-,400
14,21004D610,252
15,21004E101,157
16,21004E74-,694
17,21004G30-,319
18,21005A22-,49
19,21005A10-,199
20,21006A201,193
21,21006A323,83
22,21006A22-,101
23,21007A53-,163
24,21007A51-,63
25,21009A34-,41
26,21009A73-,122
27,21009A53-,144
28,21009A612,123
29,21009A22-,145
30,21010A121,74
31,21010A03-,237
32,21010A05-,414
33,21011A30-,163
34,21012A72-,248
35,21012A11-,110
36,21012A53-,51
37,21012A13-,135
38,21012A24-,247
39,21013A22-,224
40,21013A121,52
41,21014A04-,214
42,21015A421,126
43,21015A03-,435
44,21015A021,282
45,21015A40-,295
46,21015A152,286
47,21015A32-,192
48,21015A24-,193
49,21016A410,53
50,21016A82-,226
51,21016A81-,162
52,21016A831,181
53,21016A311,129
54,21017A512,69
55,21017A443,72
56,21017A212,116
57,21018A13-,61
58,21018A24-,125
59,21019A02-,12
60,21019A45-,64
61,21019A131,118
62,21001A332,109
63,21001A10-,80
64,21001A451,123
65,21001A72-,242
66,21001A32-,255
67,21002A441,98
68,21002A43-,87
69,21002A23-,92
70,21003A312,165
71,21003A212,55
72,21004A04-,86
73,21004F922,241
74,21004E14-,202
75,21004E12-,489
76,21004A811,156
77,21004A03-,93
78,21004B43-,328
79,21004E201,376
80,21005A00-,191
81,21005A12-,338
82,21005A042,226
83,21006A515,97
84,21006A474,52
85,21007A201,133
86,21007A242,39
87,21009A03-,73
88,21009A01-,89
89,21009A21-,119
90,21010A00-,409
91,21010A1AJ,220
92,21010A02-,320
93,21010A04-,270
94,21011A12-,110
95,21012A41-,109
96,21012A60-,434
97,21012A10-,208
98,21012A152,485
99,21012A71-,325
100,21013A201,146
101,21013A422,207
102,21014A00-,216
103,21015A12-,169
104,21015A22-,326
105,21015A41-,243
106,21015A50-,269
107,21015A622,60
108,21015A20-,429
109,21016A701,161
110,21016A05-,220
111,21016A102,166
112,21016A521,35
113,21016A933,176
114,21017A000,77
115,21017A01-,92
116,21017A635,36
117,21018A15-,10
118,21018A83-,54
119,21018A20-,170
120,21018A21-,166
121,21018A031,80
122,21019A43-,34
123,21019A34-,74
124,21019A10-,121
125,21019A35-,102
126,21001A041,181
127,21001A472,40
128,21001A83-,295
129,21001A503,85
130,21001A401,35
131,21001A53-,28
132,21001A41-,150
133,21001A85-,44
134,21001A51-,71
135,21001A42-,34
136,21001A52-,37
137,21001C70-,25
138,21001A552,218
139,21001A84-,75
140,21001A34-,202
141,21001A350,102
142,21001A441,144
143,21001C512,93
144,21001C71-,147
145,21001A82-,129
146,21001C611,32
147,21001A30-,216
148,21001A80-,174
149,21001A81-,102
150,21001A31-,51
151,21001A031,132
152,21001B22-,87
153,21001B321,159
154,21001B20-,447
155,21001A142,91
156,21001A051,100
157,21001A941,156
158,21001A732,25
159,21001A132,63
160,21001B31-,98
161,21001B25-,307
162,21001B11-,58
163,21001A011,234
164,21001B17-,77
165,21001A712,72
166,21001A07-,25
167,21001B21-,262
168,21001A911,151
169,21001A931,125
170,21001A74-,225
171,21001A00-,221
172,21001A95-,248
173,21001B10-,223
174,21001B332,103
175,21001B241,139
176,21001A120,238
177,21001A152,86
178,21001A112,223
179,21002A20-,77
180,21002A53-,60
181,21002A511,152
182,21002A22-,39
183,21002A24-,90
184,21002A25-,94
185,21002A45-,51
186,21002A130,108
187,21002A311,61
188,21002A372,26
189,21002A21-,143
190,21002A411,37
191,21002A00-,70
192,21002A02-,45
193,21002A11-,56
194,21002A14-,30
195,21002A12-,100
196,21002A041,46
197,21002A01-,54
198,21002A52-,53
199,21003A323,50
200,21003A342,56
201,21003A331,56
202,21003A04-,84
203,21003A0AJ,113
204,21003A02-,205
205,21003A03-,129
206,21003A011,135
207,21003A00-,252
208,21003A283,10
209,21003A11-,107
210,21003A41-,45
211,21003A2MJ,29
212,21003A10-,210
213,21004B421,175
214,21004B411,56
215,21004F511,141
216,21004C62-,27
217,21004C65-,37
218,21004G310,97
219,21004F94-,78
220,21004F901,138
221,21004F930,210
222,21004G321,91
223,21004B2WJ,13
224,21004B45-,52
225,21004A25-,76
226,21004B2MJ,14
227,21004B44-,112
228,21004A24-,169
229,21004A35-,46
230,21004A83-,85
231,21004G3MJ,51
232,21004F91-,191
233,21004G3NJ,31
234,21004C642,22
235,21004C61-,43
236,21004C54-,68
237,21004C63-,65
238,21004B13-,11
239,21004F953,74
240,21004F9MJ,119
241,21004A02-,74
242,21004A23-,204
243,21004A01-,18
244,21004A22-,216
245,21004B10-,15
246,21004A72-,126
247,21004A71-,84
248,21004A002,17
249,21004A34-,33
250,21004A15-,20
251,21004A16-,144
252,21004A20-,116
253,21004A14-,73
254,21004A001,15
255,21004A32-,55
256,21004C52-,34
257,21004C552,77
258,21004C51-,34
259,21004A33-,83
260,21004C53-,23
261,21004C501,17
262,21004A21-,468
263,21004A13-,20
264,21004E70-,485
265,21004E83-,269
266,21004E130,363
267,21004E73-,299
268,21004D64-,81
269,21004E112,48
270,21004E211,70
271,21004D631,14
272,21004D6NJ,13
273,21004A822,17
274,21004E233,40
275,21004D672,66
276,21004F522,167
277,21004E82-,318
278,21004E222,124
279,21004E81-,83
280,21004D600,101
281,21005A02-,135
282,21005A33-,63
283,21005A14-,162
284,21005A13-,85
285,21005A082,15
286,21005A01-,144
287,21005A322,24
288,21005A311,89
289,21005A20-,75
290,21005A15-,123
291,21005A031,83
292,21005A051,190
293,21005A11-,132
294,21005A21-,24
295,21006A12-,70
296,21006A11-,59
297,21006A153,83
298,21006A13-,90
299,21006A02-,45
300,21006A03-,47
301,21006A094,19
302,21006A24-,58
303,21006A403,108
304,21006A21-,98
305,21006A23-,137
306,21006A312,25
307,21006A101,290
308,21006A001,233
309,21006A414,178
310,21006A171,31
311,21006A25-,92
312,21006A011,210
313,21006A142,94
314,21006A042,98
315,21006A052,153
316,21007A03-,108
317,21007A252,16
318,21007A21-,23
319,21007A75-,56
320,21007A111,57
321,21007A41-,31
322,21007A142,84
323,21007A50-,197
324,21007A552,19
325,21007A541,33
326,21007A61-,329
327,21007A06-,50
328,21007A04-,33
329,21007A00-,224
330,21007A101,157
331,21007A783,30
332,21007A071,83
333,21007A70-,162
334,21007A239,164
335,21009A101,74
336,21009A13-,43
337,21009A121,46
338,21009A63-,113
339,21009A42-,132
340,21009A40-,64
341,21009A301,51
342,21009A812,18
343,21009A33-,180
344,21009A43-,100
345,21009A41-,104
346,21009A83-,93
347,21009A52-,209
348,21009A44-,78
349,21009A712,23
350,21009A72-,58
351,21009A911,66
352,21009A311,20
353,21009A802,15
354,21009A82-,40
355,21009A111,149
356,21009A151,41
357,21009A451,88
358,21010A10-,147
359,21010A111,145
360,21010A312,77
361,21010A13-,294
362,21010A141,320
363,21010A01-,457
364,21010A21-,233
365,21011A11-,127
366,21011A20-,277
367,21011A10-,154
368,21011A01-,362
369,21011A02-,187
370,21011A00-,193
371,21012A552,99
372,21012A833,25
373,21012A84-,147
374,21012A26-,219
375,21012A25-,95
376,21012A172,101
377,21012A041,163
378,21012A00-,246
379,21012A05-,101
380,21012A851,68
381,21012A882,28
382,21012A22-,20
383,21012A12-,131
384,21012A672,206
385,21012A63-,217
386,21012A62-,421
387,21012A511,259
388,21012A20-,178
389,21012A611,123
390,21012A54-,264
391,21012A50-,207
392,21012A21-,199
393,21012A52-,291
394,21012A30-,138
395,21012A23-,248
396,21012A822,372
397,21012A811,75
398,21012A141,245
399,21012A03-,178
400,21012A02-,84
401,21012A011,108
402,21012A732,106
403,21013A242,117
404,21013A102,15
405,21013A101,141
406,21013A13-,157
407,21013A11-,77
408,21013A01-,150
409,21013A04-,75
410,21013A252,153
411,21013A23-,112
412,21013A02-,103
413,21013A612,11
414,21013A211,168
415,21013A052,43
416,21013A151,88
417,21013A522,56
418,21013A40-,110
419,21013A41-,144
420,21013A031,47
421,21013A00-,151
422,21013A51-,86
423,21014A02-,69
424,21014A14-,80
425,21014A41-,311
426,21014A10-,209
427,21014A03-,71
428,21014A12-,17
429,21014A01-,69
430,21014A05-,528
431,21014A3MJ,16
432,21015A77-,134
433,21015A73-,86
434,21015A782,14
435,21015A31-,149
436,21015A36-,87
437,21015A70-,113
438,21015A721,68
439,21015A822,29
440,21015A34-,98
441,21015A63-,93
442,21015A883,19
443,21015A811,103
444,21015A831,218
445,21015A30-,244
446,21015A64-,230
447,21015A33-,153
448,21015A35-,158
449,21015A53-,233
450,21015A54-,284
451,21015A52-,135
452,21015A51-,104
453,21015A05-,337
454,21015A101,133
455,21015A111,242
456,21015A142,17
457,21015A71-,92
458,21015A04-,386
459,21015A43-,128
460,21015A44-,275
461,21015A612,322
462,21015A45-,144
463,21015A00-,583
464,21015A01-,75
465,21015A13-,190
466,21015A272,7
467,21015A231,101
468,21015A21-,208
469,21016A901,135
470,21016A232,97
471,21016A111,69
472,21016A841,31
473,21016A85-,58
474,21016A042,36
475,21016A03-,187
476,21016A02-,185
477,21016A922,59
478,21016A912,68
479,21016A731,26
480,21016A772,44
481,21016A72-,71
482,21016A71-,109
483,21016A954,9
484,21016A80-,160
485,21016A225,17
486,21016A64-,135
487,21016A533,37
488,21016A943,50
489,21016A65-,74
490,21016A601,84
491,21016A620,85
492,21016A01-,302
493,21016A00-,292
494,21016A12-,151
495,21016A44-,183
496,21016A214,25
497,21016A322,43
498,21016A400,200
499,21016A429,125
500,21016A490,27
501,21016A639,218
502,21016A610,32
503,21016A342,226
504,21017A541,37
505,21017A11-,115
506,21017A240,57
507,21017A230,75
508,21017A220,56
509,21017A41-,90
510,21017A523,72
511,21017A624,41
512,21017A534,20
513,21017A501,22
514,21017A432,82
515,21017A021,24
516,21017A12-,197
517,21017A13-,77
518,21017A451,97
519,21017A041,58
520,21018A72-,132
521,21018A35-,97
522,21018A34-,73
523,21018A32-,25
524,21018A311,106
525,21018A33-,103
526,21018A22-,86
527,21018A512,88
528,21018A04-,105
529,21018A02-,70
530,21018A37-,12
531,21018A63-,137
532,21018A05-,81
533,21018A61-,134
534,21018A62-,185
535,21018A09-,11
536,21018A30-,62
537,21018A643,140
538,21018A60-,27
539,21018A81-,52
540,21018A84-,84
541,21018A00-,64
542,21018A43-,61
543,21018A41-,66
544,21018A42-,50
545,21018A01-,58
546,21018A14-,90
547,21018A12-,88
548,21018A82-,36
549,21018A87-,29
550,21018A3MJ,148
551,21019A231,77
552,21019A242,61
553,21019A252,83
554,21019A12-,53
555,21019A52-,58
556,21019A51-,92
557,21019A04-,35
558,21019A03-,73
559,21019A052,40
560,21019A001,85
561,21019A30-,75
562,21019A33-,94
563,21019A01-,40
564,21019A11-,68
565,21019A31-,76
566,21019A32-,171
567,21019A20-,112
568,21019A14-,93
569,21019A21-,105
570,21019A40-,224
571,21019A15-,118
572,21019A42-,72
573,21019A22-,25
574,21019A441,30
575,21019A41-,66
576,21001C6PB,32
