Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Sum of Compte;Commune_from
Femme;17;1030;SCHAERBEEK;1;Schaerbeek
Femme;17;1090;JETTE;2;Jette
Femme;18;1000;BRUXELLES;4;Bruxelles
Femme;18;1030;SCHAERBEEK;2;Schaerbeek
Femme;18;1040;ETTERBEEK;3;Etterbeek
Femme;18;1050;IXELLES;1;Ixelles
Femme;18;1060;SAINT-GILLES;1;Saint-Gilles
Femme;18;1070;ANDERLECHT;1;Anderlecht
Femme;18;1140;EVERE;2;Evere
Femme;18;1150;WOLUWE-SAINT-PIERRE;2;Woluwe-Saint-Pierre
Femme;18;1170;WATERMAEL-BOITSFORT;2;Watermael-Boitsfort
Femme;18;1180;UCCLE;3;Uccle
Femme;18;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Femme;19;1000;BRUXELLES;4;Bruxelles
Femme;19;1030;SCHAERBEEK;3;Schaerbeek
Femme;19;1040;ETTERBEEK;2;Etterbeek
Femme;19;1050;IXELLES;3;Ixelles
Femme;19;1060;SAINT-GILLES;2;Saint-Gilles
Femme;19;1070;ANDERLECHT;2;Anderlecht
Femme;19;1080;MOLENBEEK-SAINT-JEAN;3;Molenbeek-Saint-Jean
Femme;19;1081;KOEKELBERG;2;Koekelberg
Femme;19;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Femme;19;1083;GANSHOREN;1;Ganshoren
Femme;19;1090;JETTE;2;Jette
Femme;19;1140;EVERE;2;Evere
Femme;19;1150;WOLUWE-SAINT-PIERRE;6;Woluwe-Saint-Pierre
Femme;19;1160;AUDERGHEM;4;Auderghem
Femme;19;1170;WATERMAEL-BOITSFORT;3;Watermael-Boitsfort
Femme;19;1180;UCCLE;6;Uccle
Femme;19;1190;FOREST;2;Forest
Femme;19;1200;WOLUWE-SAINT-LAMBERT;5;Woluwe-Saint-Lambert
Femme;19;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Femme;20;1000;BRUXELLES;13;Bruxelles
Femme;20;1040;ETTERBEEK;4;Etterbeek
Femme;20;1050;IXELLES;4;Ixelles
Femme;20;1060;SAINT-GILLES;2;Saint-Gilles
Femme;20;1070;ANDERLECHT;5;Anderlecht
Femme;20;1080;MOLENBEEK-SAINT-JEAN;4;Molenbeek-Saint-Jean
Femme;20;1081;KOEKELBERG;2;Koekelberg
Femme;20;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Femme;20;1083;GANSHOREN;4;Ganshoren
Femme;20;1090;JETTE;3;Jette
Femme;20;1140;EVERE;3;Evere
Femme;20;1150;WOLUWE-SAINT-PIERRE;8;Woluwe-Saint-Pierre
Femme;20;1160;AUDERGHEM;6;Auderghem
Femme;20;1170;WATERMAEL-BOITSFORT;4;Watermael-Boitsfort
Femme;20;1180;UCCLE;7;Uccle
Femme;20;1190;FOREST;4;Forest
Femme;20;1200;WOLUWE-SAINT-LAMBERT;4;Woluwe-Saint-Lambert
Femme;21;1000;BRUXELLES;4;Bruxelles
Femme;21;1030;SCHAERBEEK;12;Schaerbeek
Femme;21;1040;ETTERBEEK;7;Etterbeek
Femme;21;1050;IXELLES;8;Ixelles
Femme;21;1060;SAINT-GILLES;1;Saint-Gilles
Femme;21;1070;ANDERLECHT;4;Anderlecht
Femme;21;1080;MOLENBEEK-SAINT-JEAN;8;Molenbeek-Saint-Jean
Femme;21;1082;BERCHEM-SAINTE-AGATHE;2;Berchem-Sainte-Agathe
Femme;21;1090;JETTE;2;Jette
Femme;21;1140;EVERE;4;Evere
Femme;21;1150;WOLUWE-SAINT-PIERRE;6;Woluwe-Saint-Pierre
Femme;21;1160;AUDERGHEM;5;Auderghem
Femme;21;1170;WATERMAEL-BOITSFORT;2;Watermael-Boitsfort
Femme;21;1180;UCCLE;10;Uccle
Femme;21;1190;FOREST;3;Forest
Femme;21;1200;WOLUWE-SAINT-LAMBERT;4;Woluwe-Saint-Lambert
Femme;21;1210;SAINT-JOSSE-TEN-NOODE;2;Saint-Josse-Ten-Noode
Femme;22;1000;BRUXELLES;7;Bruxelles
Femme;22;1030;SCHAERBEEK;6;Schaerbeek
Femme;22;1040;ETTERBEEK;7;Etterbeek
Femme;22;1050;IXELLES;4;Ixelles
Femme;22;1060;SAINT-GILLES;1;Saint-Gilles
Femme;22;1070;ANDERLECHT;7;Anderlecht
Femme;22;1080;MOLENBEEK-SAINT-JEAN;6;Molenbeek-Saint-Jean
Femme;22;1081;KOEKELBERG;2;Koekelberg
Femme;22;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Femme;22;1083;GANSHOREN;2;Ganshoren
Femme;22;1090;JETTE;2;Jette
Femme;22;1140;EVERE;3;Evere
Femme;22;1150;WOLUWE-SAINT-PIERRE;5;Woluwe-Saint-Pierre
Femme;22;1160;AUDERGHEM;6;Auderghem
Femme;22;1170;WATERMAEL-BOITSFORT;8;Watermael-Boitsfort
Femme;22;1180;UCCLE;10;Uccle
Femme;22;1190;FOREST;5;Forest
Femme;22;1200;WOLUWE-SAINT-LAMBERT;5;Woluwe-Saint-Lambert
Femme;22;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Femme;23;1000;BRUXELLES;3;Bruxelles
Femme;23;1030;SCHAERBEEK;6;Schaerbeek
Femme;23;1040;ETTERBEEK;3;Etterbeek
Femme;23;1050;IXELLES;3;Ixelles
Femme;23;1060;SAINT-GILLES;4;Saint-Gilles
Femme;23;1080;MOLENBEEK-SAINT-JEAN;10;Molenbeek-Saint-Jean
Femme;23;1082;BERCHEM-SAINTE-AGATHE;3;Berchem-Sainte-Agathe
Femme;23;1083;GANSHOREN;1;Ganshoren
Femme;23;1090;JETTE;3;Jette
Femme;23;1140;EVERE;1;Evere
Femme;23;1150;WOLUWE-SAINT-PIERRE;3;Woluwe-Saint-Pierre
Femme;23;1160;AUDERGHEM;5;Auderghem
Femme;23;1170;WATERMAEL-BOITSFORT;1;Watermael-Boitsfort
Femme;23;1180;UCCLE;3;Uccle
Femme;23;1190;FOREST;2;Forest
Femme;23;1200;WOLUWE-SAINT-LAMBERT;7;Woluwe-Saint-Lambert
Femme;24;1000;BRUXELLES;3;Bruxelles
Femme;24;1030;SCHAERBEEK;4;Schaerbeek
Femme;24;1040;ETTERBEEK;6;Etterbeek
Femme;24;1050;IXELLES;6;Ixelles
Femme;24;1060;SAINT-GILLES;5;Saint-Gilles
Femme;24;1070;ANDERLECHT;3;Anderlecht
Femme;24;1080;MOLENBEEK-SAINT-JEAN;2;Molenbeek-Saint-Jean
Femme;24;1081;KOEKELBERG;1;Koekelberg
Femme;24;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Femme;24;1083;GANSHOREN;2;Ganshoren
Femme;24;1090;JETTE;1;Jette
Femme;24;1140;EVERE;1;Evere
Femme;24;1150;WOLUWE-SAINT-PIERRE;2;Woluwe-Saint-Pierre
Femme;24;1160;AUDERGHEM;2;Auderghem
Femme;24;1170;WATERMAEL-BOITSFORT;3;Watermael-Boitsfort
Femme;24;1180;UCCLE;2;Uccle
Femme;24;1190;FOREST;2;Forest
Femme;24;1200;WOLUWE-SAINT-LAMBERT;3;Woluwe-Saint-Lambert
Femme;25;1000;BRUXELLES;1;Bruxelles
Femme;25;1030;SCHAERBEEK;5;Schaerbeek
Femme;25;1040;ETTERBEEK;1;Etterbeek
Femme;25;1050;IXELLES;2;Ixelles
Femme;25;1060;SAINT-GILLES;1;Saint-Gilles
Femme;25;1070;ANDERLECHT;4;Anderlecht
Femme;25;1080;MOLENBEEK-SAINT-JEAN;5;Molenbeek-Saint-Jean
Femme;25;1082;BERCHEM-SAINTE-AGATHE;1;Berchem-Sainte-Agathe
Femme;25;1083;GANSHOREN;1;Ganshoren
Femme;25;1090;JETTE;1;Jette
Femme;25;1140;EVERE;1;Evere
Femme;25;1160;AUDERGHEM;1;Auderghem
Femme;25;1170;WATERMAEL-BOITSFORT;3;Watermael-Boitsfort
Femme;25;1180;UCCLE;5;Uccle
Femme;25;1190;FOREST;1;Forest
Femme;25;1200;WOLUWE-SAINT-LAMBERT;2;Woluwe-Saint-Lambert
Femme;25;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Femme;26;1000;BRUXELLES;6;Bruxelles
Femme;26;1030;SCHAERBEEK;2;Schaerbeek
Femme;26;1050;IXELLES;1;Ixelles
Femme;26;1070;ANDERLECHT;2;Anderlecht
Femme;26;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Femme;26;1081;KOEKELBERG;2;Koekelberg
Femme;26;1082;BERCHEM-SAINTE-AGATHE;2;Berchem-Sainte-Agathe
Femme;26;1160;AUDERGHEM;1;Auderghem
Femme;26;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Femme;27;1030;SCHAERBEEK;2;Schaerbeek
Femme;27;1040;ETTERBEEK;1;Etterbeek
Femme;27;1050;IXELLES;2;Ixelles
Femme;27;1060;SAINT-GILLES;2;Saint-Gilles
Femme;27;1070;ANDERLECHT;4;Anderlecht
Femme;27;1080;MOLENBEEK-SAINT-JEAN;2;Molenbeek-Saint-Jean
Femme;27;1081;KOEKELBERG;1;Koekelberg
Femme;27;1090;JETTE;2;Jette
Femme;27;1170;WATERMAEL-BOITSFORT;2;Watermael-Boitsfort
Femme;27;1180;UCCLE;3;Uccle
Femme;27;1190;FOREST;4;Forest
Femme;27;1200;WOLUWE-SAINT-LAMBERT;2;Woluwe-Saint-Lambert
Femme;28;1000;BRUXELLES;7;Bruxelles
Femme;28;1030;SCHAERBEEK;2;Schaerbeek
Femme;28;1040;ETTERBEEK;1;Etterbeek
Femme;28;1050;IXELLES;3;Ixelles
Femme;28;1070;ANDERLECHT;1;Anderlecht
Femme;28;1140;EVERE;1;Evere
Femme;28;1160;AUDERGHEM;1;Auderghem
Femme;28;1170;WATERMAEL-BOITSFORT;2;Watermael-Boitsfort
Femme;28;1190;FOREST;3;Forest
Femme;29;1050;IXELLES;1;Ixelles
Femme;29;1060;SAINT-GILLES;4;Saint-Gilles
Femme;29;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Femme;29;1160;AUDERGHEM;1;Auderghem
Femme;29;1170;WATERMAEL-BOITSFORT;1;Watermael-Boitsfort
Femme;29;1180;UCCLE;1;Uccle
Femme;29;1200;WOLUWE-SAINT-LAMBERT;1;Woluwe-Saint-Lambert
Femme;30;1000;BRUXELLES;1;Bruxelles
Femme;30;1050;IXELLES;2;Ixelles
Femme;30;1060;SAINT-GILLES;1;Saint-Gilles
Femme;30;1090;JETTE;1;Jette
Femme;30;1140;EVERE;1;Evere
Femme;30;1150;WOLUWE-SAINT-PIERRE;1;Woluwe-Saint-Pierre
Femme;30;1200;WOLUWE-SAINT-LAMBERT;1;Woluwe-Saint-Lambert
Femme;31;1070;ANDERLECHT;2;Anderlecht
Femme;31;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Femme;31;1140;EVERE;1;Evere
Femme;31;1210;SAINT-JOSSE-TEN-NOODE;1;Saint-Josse-Ten-Noode
Femme;32;1030;SCHAERBEEK;1;Schaerbeek
Femme;32;1060;SAINT-GILLES;1;Saint-Gilles
Femme;32;1070;ANDERLECHT;1;Anderlecht
Femme;33;1000;BRUXELLES;1;Bruxelles
Femme;33;1080;MOLENBEEK-SAINT-JEAN;1;Molenbeek-Saint-Jean
Femme;33;1083;GANSHOREN;1;Ganshoren
Femme;33;1180;UCCLE;3;Uccle
Femme;34;1050;IXELLES;2;Ixelles
Femme;34;1060;SAINT-GILLES;1;Saint-Gilles
Femme;34;1170;WATERMAEL-BOITSFORT;1;Watermael-Boitsfort
Femme;35;1030;SCHAERBEEK;1;Schaerbeek
Femme;35;1083;GANSHOREN;1;Ganshoren
Femme;35;1200;WOLUWE-SAINT-LAMBERT;1;Woluwe-Saint-Lambert
Femme;36;1000;BRUXELLES;2;Bruxelles
Femme;36;1180;UCCLE;2;Uccle
Femme;37;1000;BRUXELLES;1;Bruxelles
Femme;37;1060;SAINT-GILLES;1;Saint-Gilles
Femme;37;1070;ANDERLECHT;1;Anderlecht
Femme;37;1090;JETTE;1;Jette
Femme;37;1180;UCCLE;1;Uccle
Femme;38;1000;BRUXELLES;1;Bruxelles
Femme;38;1040;ETTERBEEK;1;Etterbeek
Femme;38;1050;IXELLES;2;Ixelles
Femme;38;1070;ANDERLECHT;1;Anderlecht
Femme;38;1170;WATERMAEL-BOITSFORT;1;Watermael-Boitsfort
Femme;38;1180;UCCLE;1;Uccle
Femme;38;1200;WOLUWE-SAINT-LAMBERT;1;Woluwe-Saint-Lambert
Femme;39;1030;SCHAERBEEK;1;Schaerbeek
Femme;39;1050;IXELLES;1;Ixelles
Femme;39;1081;KOEKELBERG;1;Koekelberg
Femme;39;1180;UCCLE;1;Uccle
Femme;39;1190;FOREST;1;Forest
Femme;40;1030;SCHAERBEEK;2;Schaerbeek
Femme;40;1180;UCCLE;1;Uccle
Femme;41;1060;SAINT-GILLES;1;Saint-Gilles
Femme;41;1170;WATERMAEL-BOITSFORT;1;Watermael-Boitsfort
Femme;42;1150;WOLUWE-SAINT-PIERRE;1;Woluwe-Saint-Pierre
Femme;42;1190;FOREST;1;Forest
Femme;43;1040;ETTERBEEK;1;Etterbeek
Femme;43;1060;SAINT-GILLES;1;Saint-Gilles
Femme;43;1070;ANDERLECHT;1;Anderlecht
Femme;43;1180;UCCLE;1;Uccle
